UserName,Sentiment,Lemmatized
1,Extremely Negative,trend new yorker encounter supermarket shelf picture wegmans brooklyn sell online grocer foodkick maxdelivery coronavirus fear shopper stock
2,Positive,find hand sanitizer fred meyer turn amazon pack purell check coronavirus concern drive price
3,Extremely Positive,find protect love one coronavirus
4,Negative,"  panic buying hit newyork city anxious shopper stock food medical supply healthcare worker bigapple confirm coronavirus patient bloomberg stage event 



  qanon 
  cdc"
5,Neutral,  toiletpaper dunnypaper coronavirus coronavirusaustralia coronavirusupdate dunnypapergate costco week buy baby milk powder buy toilet paper
6,Neutral,remember time pay gallon regular gas los angeles price pump go look coronavirus impact price
7,Positive,vote age coronavirus hand sanitizer supertuesday
8,Neutral,"  drtedro canât stop protect healthworker 
 price surgical mask increase fold respirator treble gown cost twice drtedros coronavirus"
9,Extremely Negative,hi twitter pharmacist sell hand sanitizer living exist like mask sell fuck worry use soap visit pharmacy look bottle pharmacy sick people
10,Extremely Positive,supermarket day go normal shop night sight greet barmy btw whatâ special tin tomato dublin
11,Positive,"good quality couch unbelievably low price available order 

 boksburg gp 

 info whatsapp 
 

  supertuesdsy powertalk 
  sayentrepreneur 
  djsbu"
12,Extremely Negative,"beware counterfeit try sell fake mask cheap price let defeat coronavirus threat collectively besafe beacascader coronavirusreachesdelhi 
  coronavirusindia 

 "
13,Extremely Negative,"panic food buying germany coronavirus begin organic leave hamsterkauf 

 panic buying call hamster purchase hamsterkã¤ufe german take way hamster stuff cheek food 

"
14,Extremely Positive,"  go grocery store turn clean supply buy fear coronavirus 

 daughter substitute teacher show class hand sanitizer need buy alcohol wish luck store"
15,Positive,busy watch election return brace covid outbreak trump nominate chemical industry lobbyist head consumer product safety commission
16,Extremely Negative,"  airsewa 

  flyspicejet provide webchecin customer free seat 

 passenger force choose pay seat free seat available airport counter 

 stop itâ discriminatory traveller right 

  hardeepspuri moca goi"
17,Extremely Positive,"precautionary measure take respective restaurant hotel comment 
  covid coronavirus 

 covid hotel chain enforce precautionary measure issue safety hygiene advisory 
"
18,Neutral,youâre stockpile food supply buy extra local food bank family donât luxury spend weekly budget dailybreadto coronavirus
19,Positive,"week bit optimistic probably month supply chain recover demand chain non existent europe month 
  spx qqq es nq"
20,Extremely Positive,"study coronavirus like live day hard surface like metal plastic glass 

 deputy commissioner consumer affairs mary barzee flores show clean gas pump 

 watch share"
21,Negative,  coronavirus people start frightened panicshoppe shelf turn good sell facemask disinfection liquid sell sell exorbitant price blockchain cryptonew
22,Extremely Positive,think credit debit good bitcoin come combat coronavirus mind contactless transaction people grocery store gas station touch keypad day
23,Extremely Positive,control stock gold lose gold come nicely love wallbridge balmoral warn listener coronavirus sprott money ltd recently money ocg genm mmg
24,Extremely Positive,"seller cash panic sell facemask sanitizer super inflated price 

 reality sanitizer facemask save coronavirus 

 watch video 

"
25,Extremely Negative,"canada isâ   oilpatch brace impact plunge crude price afterâ   opec ally fail reach deal aim cut production economy slow becauseâ   novel coronavirus fool jkenney base budget hire oil price 

"
26,Positive,"alright yâall hope melanin prevail case take precaution food water deliver iâve mask month open soon 
  fba 

  coronavirususa covid"
27,Negative,usual grocery shopping woolworth turn toilet paper fight supermarket aisle yike toiletpaperpanic coronavirus take new level
28,Negative,"coronavirus panic spreads costco pull free sample covid usa today 

 coronavirus panic spreads costco pull free sample covid   â   usa today 

  pandemonium virus panic buying hit los angelesâ   â   yahoo news 

 costco haâ  "
29,Negative,stock wait quarantine forget donate food water toiletry local food bank help mean stock ahead crisis coronavirus
30,Positive,"  coronavirus exposure hole social safety net say nelp government affair director judy conti 

  ui unemployment paidleaveforall 
"
31,Negative,important phone number nyer know doctor insurance think sick need test coronavirus state helpline report price gouging div consumer protection
32,Extremely Positive,"tip pro wrestler help combat coronavirus like zoelucaspro bring hand sanitizer match precaution 

  evewrestle prowrestlingeve"
33,Extremely Negative,"effective 
 necessary 
 optics 
 scare tactic 
 american consumer 
 msm use 
 optic intend effect 
 fear 
 crash market panic elect biden 

  qanon coronavirus"
34,Extremely Negative,imho russia rug pull oil price design end dollar global reserve currency corp debt collapse lead high yield fracke compound covid mean fed govt respond mmt ciao dollar alt collapse get gold silver
35,Neutral,brexit supermarket begin foodratione wave coronavirus fuel panic buying
36,Extremely Negative,"remember medium deflection story bog roll panic buy food shortage covid irish bridge etc etc 

 ve get brexit austerity poverty crash economy bad uk govt living memory 

 depressing stuff be not go to end"
37,Negative,fellow uni instructors covid class cancelation inconvenient remember salary employee maybe email hr union demand know hourly worker clerical food service custodial etc compensate campus closure
38,Neutral,"  howroute itâ food actual heck news people 

 need food water need paper wipe sayin 

  coronavirus corona virus panic"
39,Negative,  soap work sar cov coronavirus virus self assemble nanoparticle weak link lipid fatty bilayer thread soap virus supramolecular chemistry
40,Extremely Positive,thread stop shame folk stock food personal care product ahead coronavirus trump clear doesnât care wonât help theyâre protect family way itâ tiny bit mastery control terrifying time
41,Positive,think senior disable vet shouldnât include realdonaldtrump aid package coronavirus check price antibacterial soap disinfectant safe transportation crowd city bus list go senstabenow rashidatlaib
42,Negative,"far pennsylvanian reach office report inflated price disinfectant spray liquid soap 
 
 price gouging like isnât wrong itâ illegal email come pricegouge attorneygeneral gov coronavirus"
43,Neutral,global stock market continue bear run dowjone s plunge open monday plunge largely overnight slump crudeoil price persistent concern impact coronavirus global economy
44,Positive,scammer take advantage fear surround coronavirus tip help scammer bay
45,Positive,"business international market exportdevcanada webinar navigate todayâs export challenge rise commodity price covid virus 

"
46,Extremely Positive,gig economy earn ppl go immediately process refund earn income tax credit child tax credit borrow credit cash help end meet normal consumer behavior return coronavirus
47,Extremely Positive,"instruct insurance company covid testing free important step help ensure cost barrier stand way people get test 

 read"
48,Extremely Negative,oil price dipping absolutely opec talk collapse saudi feuding russia celebrate calm hell weirdo
49,Extremely Negative,"global stock plummet today fear surround fall oil price see big day drop gulf war 

 let look major stock index react news base closing value"
50,Extremely Negative,"beginning global recession 

  coronavirus damaging health crisis 
  oil price fall 
 stock fall 
  drop morning trading halt 
  migration crisis eu border 
  housingcrisis skyrocket rent tenant lose income 
  q"
51,Extremely Negative,  scottmorrisonmp factor buy recession ignore capita recessionâ wage growth stagnant consumer debt level roof casualize work change economy drive government co
52,Neutral,"cuomo press conference 
 new york release new brand state sanitizer price ¢ gallon 
  coronavirusupdates corona coronavirusoutbreak virus nyc 

"
53,Negative,"ignore online offer vaccination currently vaccine pill potion lotion lozenge prescription counter product available treat cure coronavirus disease covid â online store 

  ftc tip"
54,Extremely Positive,lucky sit home food period self isolation consider donate trusselltrust help stock want trusselltrust foodbank coronavirus
55,Extremely Negative,"  thehill americans need help avoid contract covid 
 prep self quarantine wks 
 stop unnecessary travel crowd gathering 
 talk employer proceed w o harm career 
 plan sch"
56,Negative,"  realdonaldtrump separate table corna virus statistic 
  high stat corona virus 
  government inability control corona virus 
  high price disinfectant gel usa high price mask usa 
 food price rise day day "
57,Negative,"  toiletpaper shortage 
 don t believe tv costco coronavirus"
58,Positive,"come guy like bob 

  panicbuye coronavirus"
59,Positive,"book ticket event package holiday offer alternative refund travel provider cancel coronavirus 

 check abta consumer q 

 "
60,Neutral,"break new jersey official urge resident stock week coronavirus quarantine case 

 
"
61,Extremely Negative,"  russia lng suffer irony spot lng price record low coronavirus declaration force majeure chinese company 

 contract lng way money oil price collapse big hit"
62,Extremely Negative,  breakingnew terrorist watch closely coronavirus spin web know americans value wipe ass citizen rush buy toilet paper neglect stock food terrorist hold toiletpaper factory hostage film
63,Extremely Positive,"  novel coronavirus continue spread worldwide impact international business operation supply chain travel commodity price consumer confidence business forecast increasingly acute 
  blgpublication"
64,Extremely Negative,low oil price low interestrate sort fiscal stimulus great consumer problem problem fear coronavirus fear quarantine day people stop travel interest rate taxis
65,Positive,consumer increase online shopping coronavirus retail ecommerce study coronavirus
66,Negative,self indulge thought food medicine essential household good stock pile like people universal credit stock pile ffs coronavirus
67,Positive,"ok panic italy impose big restriction civilian population 
 supermarket able provide food worker tell stay home 
 bussiness"
68,Extremely Positive,trump say people vigilant conclude calm work lot good thing go happen consumer ready consumer powerful country tax cut regulation cut thing
69,Positive,"food item stock case quarantine 

  coronavirus home stay peopleâs mind food stock pantry support physical mental health 

"
70,Positive,"hi support local chinese restaurant order delicious food struggle panic have let staff 

 favs manchester sweetmandarin 
 thank 

  iwilleatwithyou"
71,Negative,report instance price gouging covid scam attorney generalâs consumer protection hotline online coronavirus
72,Extremely Positive,"russia break rank opec signal intent nemesis american oil gas industry 

  oilwar steep market favorite thing uncertainty 

 time succeed 

 low oil price long oott"
73,Positive,"  retail expert talk significant decrease store traffic coronavirus 
  check article 

"
74,Negative,meet member distributive trade today examine preparation impact covid base report key manufacturer importer mth stock expect shortage critical food item
75,Neutral,need stock food couple week tip properly store perishable item coronavirus
76,Extremely Negative,"genuine concern folk isolate work low wage hourly pay job folk barely get not pay sick day folk canât stock week worth food folk canât work 

 work poor suffer"
77,Negative,"world population infect coronavirus end year 

 prayer useless science come rescue happen world recover year stock food people doomsdaybunker"
78,Positive,important update ceo brian beaulieu broaden scope covid webinar expect oil price drop stock market development retail sale unfold situation china italy learn register
79,Positive,"  target take coronavirus seriously store add hour staff clean rigorously stop food sample bolster order pick drive encourage employee stay home add stock limit item purchase 

 "
80,Positive,cdc old folk stock food stay home amid coronavirus business insider wow
81,Extremely Negative,"infect death rate coronavirus die usa 

 not mo mney stock food find fishing hole supply hunt fish"
82,Negative,shop chemist retailer sort raise price coronavirus boycott greed country start govern year ff fg lose compassion decency
83,Extremely Positive,witch hazel help protect coronavirus diy hand sanitizer ameshaa
84,Negative,"  thehill donaldtrump lie rumor 
 recognize sense humor 
  sell balm 
  tell stay calm 
 blame consumer 

  trumpdemic coronavirus"
85,Negative,"  realdonaldtrump 
 balm coronavirus 

  donaldtrump lie rumor 
 recognize sense humor 
  sell balm 
  tell stay calm 
 blame consumer trumpdemic coronaviru"
