date,pm25,pm10,o3,aqi
12/1/2022,28,18,10,28
12/2/2022,55,15,7,55
12/3/2022,50,14,12,50
12/4/2022,51,13,16,51
12/5/2022,43,6,11,43
12/6/2022,23,5,14,23
12/7/2022,20,7,13,20
12/8/2022,26,9,19,26
12/9/2022,25,4,23,25
12/10/2022,14,3,21,21
12/11/2022,12,0,0,12
11/1/2022,14,4,18,18
11/2/2022,14,3,17,17
11/3/2022,14,6,17,17
11/4/2022,18,3,15,18
11/5/2022,10,3,11,11
11/6/2022,13,6,19,19
11/7/2022,20,4,18,20
11/8/2022,13,6,15,15
11/9/2022,17,9,21,21
11/10/2022,23,6,20,23
11/11/2022,14,4,25,25
11/12/2022,13,7,23,23
11/13/2022,17,7,21,21
11/14/2022,14,5,16,16
11/15/2022,13,8,14,14
11/16/2022,12,9,20,20
11/17/2022,15,9,20,20
11/18/2022,11,5,19,19
11/19/2022,11,3,18,18
11/20/2022,15,5,17,17
11/21/2022,24,5,16,24
11/22/2022,22,3,18,22
11/23/2022,10,5,15,15
11/24/2022,16,7,17,17
11/25/2022,25,11,8,25
11/26/2022,39,10,4,39
11/27/2022,37,10,12,37
11/28/2022,33,6,5,33
11/29/2022,22,5,5,22
11/30/2022,20,8,4,20
10/1/2022,14,5,20,20
10/2/2022,19,7,18,19
10/3/2022,20,6,25,25
10/4/2022,16,8,18,18
10/5/2022,21,6,24,24
10/6/2022,18,10,23,23
10/7/2022,25,8,27,27
10/8/2022,20,4,21,21
10/9/2022,13,6,21,21
10/10/2022,14,6,21,21
10/11/2022,16,4,23,23
10/12/2022,12,9,17,17
10/13/2022,19,8,20,20
10/14/2022,26,15,16,26
10/15/2022,52,12,19,52
10/16/2022,46,4,28,46
10/17/2022,13,2,23,23
10/18/2022,7,4,19,19
10/19/2022,10,5,20,20
10/20/2022,13,6,19,19
10/21/2022,13,6,22,22
10/22/2022,17,7,22,22
10/23/2022,20,9,16,20
10/24/2022,17,5,16,17
10/25/2022,16,4,12,16
10/26/2022,15,4,16,16
10/27/2022,12,9,19,19
10/28/2022,21,2,28,28
10/29/2022,11,4,25,25
10/30/2022,13,8,19,19
10/31/2022,16,5,13,16
9/1/2022,12,3,20,20
9/2/2022,10,3,17,17
9/3/2022,9,3,22,22
9/4/2022,11,6,21,21
9/5/2022,11,5,23,23
9/6/2022,10,7,23,23
9/7/2022,17,7,23,23
9/8/2022,17,14,26,26
9/9/2022,21,7,24,24
9/10/2022,16,8,26,26
9/11/2022,21,9,28,28
9/12/2022,22,7,21,22
9/13/2022,11,6,18,18
9/14/2022,16,3,26,26
9/15/2022,10,3,21,21
9/16/2022,10,4,27,27
9/17/2022,16,3,21,21
9/18/2022,13,5,17,17
9/19/2022,12,5,13,13
9/20/2022,18,5,16,18
9/21/2022,16,6,17,17
9/22/2022,13,7,22,22
9/23/2022,18,5,17,18
9/24/2022,16,4,19,19
9/25/2022,16,8,23,23
9/26/2022,18,7,21,21
9/27/2022,16,6,16,16
9/28/2022,18,3,9,18
9/29/2022,11,4,12,12
9/30/2022,16,5,21,21
8/1/2022,19,7,35,35
8/2/2022,18,8,29,29
8/3/2022,18,15,45,45
8/4/2022,33,18,35,35
8/5/2022,37,12,30,37
8/6/2022,24,4,24,24
8/7/2022,9,7,29,29
8/8/2022,17,7,26,26
8/9/2022,20,7,33,33
8/10/2022,16,8,30,30
8/11/2022,21,8,35,35
8/12/2022,26,7,25,26
8/13/2022,24,12,34,34
8/14/2022,34,15,58,58
8/15/2022,39,19,47,47
8/16/2022,53,21,34,53
8/17/2022,54,22,55,55
8/18/2022,60,27,44,60
8/19/2022,65,26,35,65
8/20/2022,54,26,30,54
8/21/2022,51,22,29,51
8/22/2022,36,9,28,36
8/23/2022,24,18,26,26
8/24/2022,46,6,24,46
8/25/2022,14,7,22,22
8/26/2022,19,12,34,34
8/27/2022,37,17,34,37
8/28/2022,53,3,17,53
8/29/2022,13,4,21,21
8/30/2022,11,5,20,20
8/31/2022,13,5,20,20
7/1/2022,39,17,38,39
