city,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
Helsinki,2021-09-01,16.2,9.7,12.9,16.2,7.6,12.8,6.8,68.2,0.003,100,4.17,0,0,46.7,27.8,324.7,1012.2,18.5,46.4,153,13.3,6,Rain
Helsinki,2021-09-02,14.5,7,11.1,14.5,3.9,10.1,5.5,70.1,0.748,100,12.5,0,0,43.1,28.6,303.6,1012.3,34.5,43.9,165.4,14.3,6,"Rain, Partially cloudy"
Helsinki,2021-09-03,13.2,7.5,11,13.2,4.9,9.9,5.6,70.4,0.739,100,20.83,0,0,57.6,35.2,324,1006.3,47.3,46,150.4,13,6,"Rain, Partially cloudy"
Helsinki,2021-09-04,13.8,6,9.5,13.8,3,8,2.7,65.2,0,0,0,0,0,43.2,24.8,330.7,1015,19.9,48.8,170,14.9,7,Clear
Helsinki,2021-09-05,13.8,3.9,9.2,13.8,0.6,7.9,2.4,64.3,0,0,0,0,0,36,21.1,306,1023.4,30.1,48.4,126.2,11.1,5,Partially cloudy
Helsinki,2021-09-06,16.2,9.3,12.8,16.2,8.5,12.7,8.7,76.6,0.165,100,4.17,0,0,25.2,13.9,272.4,1020.1,60.7,47.7,128.6,11,6,"Rain, Partially cloudy"
Helsinki,2021-09-07,15.5,6.2,11.3,15.5,4.1,10.8,9,86.3,0,0,0,0,0,32.4,20.2,246.8,1017.6,46.8,43.3,91.4,7.8,4,Partially cloudy
Helsinki,2021-09-08,16,13,14.6,16,13,14.6,13,90.4,0.165,100,12.5,0,0,36,21.7,242.5,1011.1,59.1,23.6,73.2,6.4,2,"Rain, Partially cloudy"
Helsinki,2021-09-09,18.2,12.2,15.1,18.2,12.2,15.1,13.4,89.6,0,0,0,0,0,36,24.4,239.2,1011.1,49.6,24.9,119.5,10.2,5,Partially cloudy
Helsinki,2021-09-10,14.6,10.8,13,14.6,10.8,13,10.7,86.1,0,0,0,0,0,25.2,15.2,88,1016.5,46.3,41.1,157,13.5,6,Partially cloudy
Helsinki,2021-09-11,16.7,12.4,14.2,16.7,12.4,14.2,12.9,92.4,0.004,100,8.33,0,0,21.3,11.5,116.1,1013.5,94.2,22.6,48.7,4.3,2,"Rain, Overcast"
Helsinki,2021-09-12,15.1,12.8,14,15.1,12.8,14,13.9,99,10.858,100,62.5,0,0,28.5,17.1,159.7,1008.3,96.8,2.9,26.6,2.3,1,"Rain, Overcast"
Helsinki,2021-09-13,15.3,9.7,13.5,15.3,6.6,13.3,9,77,2.471,100,29.17,0,0,60.8,32.7,298.8,1004.1,51,29.3,104.5,9.1,6,"Rain, Partially cloudy"
Helsinki,2021-09-14,12.9,7.7,10.2,12.9,4.7,8.4,2.1,58.3,0,0,0,0,0,54,29.1,300.3,1012,22.7,48.5,137.9,12,4,Partially cloudy
Helsinki,2021-09-15,10.1,5.3,8,10.1,2.2,5.9,3,71.8,0,0,0,0,0,36,20.8,328.9,1018.5,50,48.9,121.4,10.4,5,Partially cloudy
Helsinki,2021-09-16,10.2,6,8.2,10.2,4.4,6.4,2.2,66.6,0,0,0,0,0,35.8,21.4,58.2,1022.3,90.8,43.6,97.5,8.4,5,Overcast
Helsinki,2021-09-17,11,6.4,8.6,11,3,6.4,2.9,67.3,0,0,0,0,0,46.6,28.7,65.3,1022.9,87.9,46.1,96.8,8.6,4,Partially cloudy
Helsinki,2021-09-18,10.5,6.8,8.6,10.5,4.1,6.6,4.3,74.9,0.739,100,29.17,0,0,36.1,20.5,61.9,1026.5,86.3,43.3,68.5,6,3,"Rain, Partially cloudy"
Helsinki,2021-09-19,9.8,7.3,8.5,7.3,4.2,5.6,2.6,66.5,0,0,0,0,0,43.2,27.9,63.5,1026.9,89.7,47.8,84.3,7.3,4,Partially cloudy
Helsinki,2021-09-20,10.5,6.1,7.8,10.5,3.5,5,1.6,64.8,0,0,0,0,0,43.2,24.9,53.4,1027.2,72.4,49.1,119.2,10.3,5,Partially cloudy
Helsinki,2021-09-21,8.8,4.8,6.5,7.4,1.6,4.2,2.7,77.2,0,0,0,0,0,28.8,14.4,27.4,1023.4,69.7,47.7,81.8,7.1,4,Partially cloudy
Helsinki,2021-09-22,11.5,1.8,6.3,11.5,-0.7,4.8,2.9,80.2,0,0,0,0,0,24.9,14.2,29.8,1022.1,10.3,41.4,135.4,11.7,6,Clear
Helsinki,2021-09-23,10,4.9,8.5,7.1,4.2,6,5.2,80.2,2.558,100,8.33,0,0,57.6,30.8,142.8,1006.2,81.1,36.8,46.5,4,2,"Rain, Partially cloudy"
Helsinki,2021-09-24,9.4,7.8,8.5,7.8,3.3,5.4,6.9,89.7,9.142,100,58.33,0,0,61,41.5,111.5,994.2,93,23.5,15.9,1.3,1,"Rain, Overcast"
Helsinki,2021-09-25,12.5,8.1,10,12.5,6.9,9.3,8.1,88.3,2.704,100,29.17,0,0,39.2,24.5,280.5,998.1,79.9,32.6,52.4,4.4,3,"Rain, Partially cloudy"
Helsinki,2021-09-26,15.2,6.5,10.6,15.2,4.5,9.4,5.6,72.8,0,0,0,0,0,35.9,20,325.6,1018.5,22,48.5,125.1,10.7,5,Partially cloudy
Helsinki,2021-09-27,13.2,4.6,8.4,13.2,3.9,8,6.5,89,0,0,0,0,0,21.6,14.3,107,1030.3,4.2,33.7,69.4,6,4,Clear
Helsinki,2021-09-28,11.9,4.7,8.6,11.9,3.5,7.6,6.6,88.1,0,0,0,0,0,32.4,21.5,105.1,1032.8,48,22.5,64.3,5.8,2,Partially cloudy
Helsinki,2021-09-29,10.8,9.6,10.3,10.8,7.4,10,7.6,83.2,0,0,0,0,0,25.3,15,124.4,1033.5,93.7,33.2,62.8,5.5,4,Overcast
Helsinki,2021-09-30,10.3,9.7,10,10.3,6.8,9.4,5.6,74.2,0,0,0,0,0,39.7,22.5,136.9,1030.5,91,42.2,47.3,3.9,2,Overcast
Helsinki,2021-10-01,10.8,8.5,9.9,10.8,6.1,8.6,7.9,87.9,1.037,100,20.83,0,0,36,18.2,165.4,1027.8,91.1,20.6,20.9,1.9,1,"Rain, Overcast"
Helsinki,2021-10-02,12.4,9.8,11,12.4,7.7,10.8,8,82,0,0,0,0,0,32.5,18.7,146.9,1026.4,63.1,29.2,39.5,3.4,2,Partially cloudy
Helsinki,2021-10-03,13.1,9.3,11.2,13.1,6.6,10.8,7.9,80.3,0,0,0,0,0,39.5,28.5,126.4,1023.4,9.1,33.4,101.5,8.7,4,Clear
Helsinki,2021-10-04,14.3,9.3,11.6,14.3,6.3,11,7.7,77.7,0,0,0,0,0,42.9,25.4,137.7,1022.9,38.9,30.3,71.9,6.2,3,Partially cloudy
Helsinki,2021-10-05,12.4,9.8,11,12.4,7.9,10.8,8.3,83.7,3.116,100,54.17,0,0,39.5,19.1,155.5,1023.2,90.3,23.5,9.6,0.8,0,"Rain, Overcast"
Helsinki,2021-10-06,13.4,10.6,12,13.4,10.6,12,7.2,72.7,0.007,100,12.5,0,0,36.1,21.9,148.6,1024.1,74.6,32.3,81.8,7,4,"Rain, Partially cloudy"
Helsinki,2021-10-07,12.8,10.1,11.4,12.8,10.1,11.4,7.9,79.9,0.42,100,25,0,0,46.5,24.9,204.9,1029.4,82.2,20.6,12.1,1,1,"Rain, Partially cloudy"
Helsinki,2021-10-08,12.2,11.3,11.7,12.2,11.3,11.7,9.8,88.4,0,0,0,0,0,36,21.6,227.5,1034.5,92.7,16.5,17,1.5,1,Overcast
Helsinki,2021-10-09,12.7,10.6,11.7,12.7,10.6,11.7,10.6,92.8,0.198,100,20.83,0,0,35.7,18,232.3,1032.6,91.8,10.7,21.2,1.9,1,"Rain, Overcast"
Helsinki,2021-10-10,12.1,10.6,11.4,12.1,10.6,11.4,9.7,89.6,0.115,100,41.67,0,0,50.4,26.4,225,1025.5,89,17.4,26.3,2,1,"Rain, Partially cloudy"
Helsinki,2021-10-11,11.8,9,10.7,11.8,5.6,10.2,7.5,80.9,0.535,100,20.83,0,0,50.8,29.4,204.2,1013.6,84.6,23.1,31.4,2.7,1,"Rain, Partially cloudy"
Helsinki,2021-10-12,10.4,7.1,8.7,10.4,5.5,7.2,7.1,89.5,11.861,100,54.17,0,0,50.2,27.3,224.2,1005.8,84.6,29.4,55.8,4.9,3,"Rain, Partially cloudy"
Helsinki,2021-10-13,9.8,3.8,7.2,8.4,2,5.9,5.6,89.8,0.492,100,12.5,0,0,18.1,10.6,328.8,1009.4,67,32.1,37.9,3.2,2,"Rain, Partially cloudy"
Helsinki,2021-10-14,9.7,2,6.3,6.8,1,4.4,3.4,83,0.241,100,8.33,0,0,46.9,23.2,212.9,1012.6,44.2,40.3,65.4,5.7,3,"Rain, Partially cloudy"
Helsinki,2021-10-15,10.1,6.2,8.9,10.1,2,6,6.9,87.9,3.8,100,66.67,0,0,64.4,31.7,190.8,997.5,85.3,33.5,11.2,0.9,1,"Rain, Partially cloudy"
Helsinki,2021-10-16,9.7,4.6,6.7,6.6,0.5,3,1.1,68.3,0.086,100,4.17,0,0,54,32,259.5,997.8,14.5,49.2,65.3,5.6,3,Rain
Helsinki,2021-10-17,9.2,4.1,6,6.2,0.2,2.5,0.5,68.5,0.339,100,4.17,0,0,54.1,30,275,1003.1,7,48.9,68.1,5.9,3,Rain
Helsinki,2021-10-18,6.8,3.1,4.7,2.8,-1.5,0.3,0,72,0,0,0,0,0,53.8,29.2,309.9,1010.2,57.8,49.4,41.5,3.4,2,Partially cloudy
Helsinki,2021-10-19,6,-0.8,3,3.6,-5.1,-0.3,-2.6,68.7,0,0,0,1,0.6,36.1,21.8,291.9,1020.1,26,48.4,77.4,6.8,3,Partially cloudy
Helsinki,2021-10-20,11.6,5.3,7.9,11.6,0.3,5.2,6.2,89.3,15.128,100,66.67,0,1,54,32.4,179.2,995.4,91.3,20.9,7.8,0.6,0,"Rain, Overcast"
Helsinki,2021-10-21,11.6,10.1,10.9,11.6,10.1,10.9,9.3,90.1,12.149,100,41.67,0,1,46.9,22.8,217.3,978.5,82.2,22.1,36.6,3,2,"Rain, Partially cloudy"
Helsinki,2021-10-22,10.1,4.4,6.7,10.1,0,2.4,4.3,84.8,3.303,100,79.17,0,1,71.7,39.8,250.9,974.8,93,28.7,15.8,1.3,1,"Rain, Overcast"
Helsinki,2021-10-23,3.8,1,2.4,-0.1,-4.2,-2.2,0.4,87.6,1.526,100,54.17,0,1,46.8,25.4,324.4,1000.7,73.5,41.6,25.1,2.2,1,"Snow, Rain, Partially cloudy"
Helsinki,2021-10-24,7.5,-2.5,1.9,4,-6.5,-1.3,-1.5,78.8,0.832,100,25,0,1,46.6,27.9,242.1,1022.3,58.3,40.8,32.8,2.9,2,"Rain, Partially cloudy"
Helsinki,2021-10-25,9.8,7.7,9.2,6.9,4.3,6.2,6.1,81.4,0.694,100,29.17,0,1,50.4,29.4,233.9,1014.9,87.1,27.9,36.3,3.2,3,"Rain, Partially cloudy"
Helsinki,2021-10-26,9.3,7.4,8.7,7.1,4.9,6.2,6.6,87.4,0.76,100,12.5,0,1,43.2,24.4,227.1,1009.1,87.7,19.7,16,1.5,1,"Rain, Partially cloudy"
Helsinki,2021-10-27,9.5,6.8,8.2,7,3.6,5.6,7,92.9,6.802,100,37.5,0,1,36.1,21.6,243.4,1004.2,87.9,27.3,16.7,1.3,1,"Rain, Partially cloudy"
