date,pm25,pm10,o3,aqi
2023-01-02,48,13,28,48
2023-01-03,36,18,27,36
2023-01-04,37,16,23,37
2023-01-05,30,8,25,30
2023-01-06,13,15,30,30
2023-01-07,39,15,28,39
2023-01-08,40,19,23,40
2023-01-09,49,18,26,49
2023-01-10,41,20,50,50
2023-01-11,40,17,29,40
2022-10-01,82,45,21,82
2022-10-02,119,28,21,119
2022-10-03,75,17,23,75
2022-10-04,47,23,24,47
2022-10-05,44,23,18,44
2022-10-06,41,16,15,41
2022-10-07,29,16,11,29
2022-10-08,33,15,19,33
2022-10-09,33,13,16,33
2022-10-10,38,21,8,38
2022-10-11,45,22,18,45
2022-10-12,54,28,14,54
2022-10-13,59,17,20,59
2022-10-14,44,9,25,44
2022-10-15,23,21,24,24
2022-10-16,41,25,24,41
2022-10-17,51,27,16,51
2022-10-18,54,20,15,54
2022-10-19,53,22,13,53
2022-10-20,70,19,24,70
2022-10-21,53,20,22,53
2022-10-22,45,19,27,45
2022-10-23,45,21,28,45
2022-10-24,46,19,19,46
2022-10-25,40,24,26,40
2022-10-26,49,15,19,49
2022-10-27,38,18,26,38
2022-10-28,38,21,22,38
2022-10-29,45,12,22,45
2022-10-30,29,14,28,29
2022-10-31,33,16,27,33
2022-11-01,34,18,24,34
2022-11-02,41,17,26,41
2022-11-03,44,26,12,44
2022-11-04,66,19,19,66
2022-11-05,56,14,23,56
2022-11-06,41,19,30,41
2022-11-07,48,18,28,48
2022-11-08,40,14,22,40
2022-11-09,41,19,25,41
2022-11-10,44,15,25,44
2022-11-11,42,19,12,42
2022-11-12,54,25,10,54
2022-11-13,64,36,22,64
2022-11-14,74,18,24,74
2022-11-15,34,12,24,34
2022-11-16,31,23,20,31
2022-11-17,45,24,23,45
2022-11-18,42,23,16,42
2022-11-19,61,20,20,61
2022-11-20,52,18,20,52
2022-11-21,39,21,23,39
2022-11-22,40,20,24,40
2022-11-23,44,24,26,44
2022-11-24,51,31,22,51
2022-11-25,54,22,21,54
2022-11-26,49,16,21,49
2022-11-27,41,28,17,41
2022-11-28,58,32,18,58
2022-11-29,73,36,17,73
2022-11-30,76,33,12,76
2022-12-01,74,17,14,74
2022-12-02,62,13,19,62
2022-12-03,57,16,15,57
2022-12-04,65,12,10,65
2022-12-05,49,10,13,49
2022-12-06,40,16,15,40
2022-12-07,50,35,6,50
2022-12-08,79,44,6,79
2022-12-09,95,42,8,95
2022-12-10,107,40,5,107
2022-12-11,112,24,10,112
2022-12-12,70,30,5,70
2022-12-13,77,30,11,77
2022-12-14,77,29,9,77
2022-12-15,71,44,7,71
2022-12-16,83,40,8,83
2022-12-17,102,25,12,102
2022-12-18,71,13,18,71
2022-12-19,44,13,21,44
2022-12-20,35,21,18,35
2022-12-21,49,18,16,49
2022-12-22,51,15,20,51
2022-12-23,36,21,20,36
2022-12-24,39,11,25,39
2022-12-25,22,15,25,25
2022-12-26,35,14,27,35
2022-12-27,20,10,30,30
2022-12-28,20,18,28,28
2022-12-29,35,14,22,35
2022-12-30,31,17,27,31
2022-12-31,40,22,28,40
2023-01-01,50,20,20,50
2022-07-01,35,20,24,35
2022-07-02,33,12,23,33
2022-07-03,33,15,25,33
2022-07-04,26,13,22,26
2022-07-05,36,14,16,36
2022-07-06,34,12,28,34
2022-07-07,31,17,32,32
2022-07-08,44,14,31,44
2022-07-09,38,17,43,43
2022-07-10,46,20,46,46
2022-07-11,68,24,37,68
2022-07-12,55,20,35,55
2022-07-13,49,17,29,49
2022-07-14,43,13,27,43
2022-07-15,26,12,40,40
2022-07-16,34,18,41,41
2022-07-17,46,38,58,58
2022-07-18,73,37,52,73
2022-07-19,69,27,33,69
2022-07-20,70,21,25,70
2022-07-21,47,17,24,47
2022-07-22,24,17,30,30
2022-07-23,34,18,26,34
2022-07-24,38,16,24,38
2022-07-25,36,17,23,36
2022-07-26,31,14,23,31
2022-07-27,27,14,32,32
2022-07-28,32,13,40,40
2022-07-29,41,17,35,41
2022-07-30,30,6,18,30
2022-07-31,17,7,32,32
2022-08-01,23,16,16,23
2022-08-02,36,19,10,36
2022-08-03,39,10,28,39
2022-08-04,35,14,28,35
2022-08-05,34,19,28,34
2022-08-06,49,19,30,49
2022-08-07,48,18,31,48
2022-08-08,52,13,27,52
2022-08-09,42,17,33,42
2022-08-10,42,23,48,48
2022-08-11,56,26,59,59
2022-08-12,56,26,58,58
2022-08-13,52,24,61,61
2022-08-14,47,31,54,54
2022-08-15,43,31,33,43
2022-08-16,56,32,34,56
2022-08-17,51,20,36,51
2022-08-18,25,15,28,28
2022-08-19,26,19,24,26
2022-08-20,37,20,28,37
2022-08-21,41,18,23,41
2022-08-22,43,9,15,43
2022-08-23,32,11,23,32
2022-08-24,36,15,10,36
2022-08-25,42,20,25,42
2022-08-26,42,23,29,42
2022-08-27,45,19,23,45
2022-08-28,24,12,22,24
2022-08-29,22,10,24,24
2022-08-30,31,19,30,31
2022-08-31,38,15,32,38
2022-09-01,48,26,28,48
2022-09-02,52,20,36,52
2022-09-03,60,19,25,60
2022-09-04,52,22,18,52
2022-09-05,45,18,23,45
2022-09-06,43,10,22,43
2022-09-07,40,10,18,40
2022-09-08,40,12,19,40
2022-09-09,44,21,22,44
2022-09-10,46,19,30,46
2022-09-11,50,12,29,50
2022-09-12,45,11,13,45
2022-09-13,44,10,18,44
2022-09-14,43,15,21,43
2022-09-15,41,8,17,41
2022-09-16,31,15,16,31
2022-09-17,42,13,16,42
2022-09-18,28,20,21,28
2022-09-19,30,29,21,30
2022-09-20,53,27,21,53
2022-09-21,67,23,28,67
2022-09-22,63,19,17,63
2022-09-23,44,23,21,44
2022-09-24,54,18,25,54
2022-09-25,51,32,20,51
2022-09-26,55,19,19,55
2022-09-27,39,22,15,39
2022-09-28,43,25,17,43
2022-09-29,67,25,20,67
2022-09-30,71,33,21,71
2022-04-01,32,19,33,33
2022-04-02,47,20,31,47
2022-04-03,53,16,28,53
2022-04-04,43,18,31,43
2022-04-05,35,14,31,35
2022-04-06,28,16,23,28
2022-04-07,28,17,27,28
2022-04-08,41,16,25,41
2022-04-09,44,18,30,44
2022-04-10,46,30,21,46
2022-04-11,59,32,26,59
2022-04-12,61,18,27,61
2022-04-13,43,14,27,43
2022-04-14,40,15,32,40
2022-04-15,42,39,31,42
2022-04-16,91,29,40,91
2022-04-17,90,21,34,90
2022-04-18,56,19,33,56
2022-04-19,46,25,32,46
2022-04-20,56,28,32,56
2022-04-21,62,22,31,62
2022-04-22,57,35,33,57
2022-04-23,72,30,38,72
2022-04-24,67,15,29,67
2022-04-25,35,13,33,35
2022-04-26,37,22,29,37
2022-04-27,40,25,31,40
2022-04-28,52,26,29,52
2022-04-29,56,25,36,56
2022-04-30,56,25,31,56
2022-05-01,59,28,27,59
2022-05-02,69,28,17,69
2022-05-03,71,35,21,71
2022-05-04,74,23,27,74
2022-05-05,56,26,28,56
2022-05-06,57,16,21,57
2022-05-07,39,21,31,39
2022-05-08,51,26,32,51
2022-05-09,55,26,27,55
2022-05-10,50,21,24,50
2022-05-11,47,24,27,47
2022-05-12,36,21,32,36
2022-05-13,44,30,38,44
2022-05-14,53,35,31,53
2022-05-15,69,30,28,69
2022-05-16,57,21,33,57
2022-05-17,45,23,32,45
2022-05-18,43,22,36,43
2022-05-19,42,19,30,42
2022-05-20,44,20,29,44
2022-05-21,50,22,36,50
2022-05-22,50,18,24,50
2022-05-23,39,18,24,39
2022-05-24,29,19,24,29
2022-05-25,34,19,21,34
2022-05-26,31,22,33,33
2022-05-27,35,17,27,35
2022-05-28,44,15,27,44
2022-05-29,34,21,26,34
2022-05-30,33,18,24,33
2022-05-31,40,15,25,40
2022-06-01,50,21,35,50
2022-06-02,56,22,44,56
2022-06-03,57,19,34,57
2022-06-04,46,19,25,46
2022-06-05,58,15,22,58
2022-06-06,40,17,26,40
2022-06-07,43,23,27,43
2022-06-08,35,23,23,35
2022-06-09,48,22,26,48
2022-06-10,53,24,26,53
2022-06-11,51,19,29,51
2022-06-12,45,15,31,45
2022-06-13,43,20,42,43
2022-06-14,50,29,48,50
2022-06-15,64,35,51,64
2022-06-16,78,44,52,78
2022-06-17,103,35,24,103
2022-06-18,80,15,26,80
2022-06-19,38,18,29,38
2022-06-20,31,17,30,31
2022-06-21,43,21,31,43
2022-06-22,52,24,41,52
2022-06-23,50,22,31,50
2022-06-24,55,16,29,55
2022-06-25,26,14,29,29
2022-06-26,63,18,21,63
2022-06-27,33,14,27,33
2022-06-28,36,17,23,36
2022-06-29,33,21,24,33
2022-06-30,30,22,24,30
2022-01-03,33,9,19,33
2022-01-04,24,12,18,24
2022-01-05,30,17,26,30
2022-01-06,51,12,23,51
2022-01-07,32,15,22,32
2022-01-08,36,20,21,36
2022-01-09,55,31,17,55
2022-01-10,69,20,15,69
2022-01-11,57,35,6,57
2022-01-12,79,39,4,79
2022-01-13,84,47,1,84
2022-01-14,109,44,7,109
2022-01-15,101,31,15,101
2022-01-16,75,31,10,75
2022-01-17,60,43,12,60
2022-01-18,100,31,14,100
2022-01-19,62,20,18,62
2022-01-20,50,21,9,50
2022-01-21,47,15,20,47
2022-01-22,49,26,22,49
2022-01-23,26,27,20,27
2022-01-24,73,28,12,73
2022-01-25,81,25,14,81
2022-01-26,68,23,18,68
2022-01-27,54,24,18,54
2022-01-28,50,20,25,50
2022-01-29,37,25,25,37
2022-01-30,45,19,28,45
2022-01-31,47,19,22,47
2022-02-01,42,22,25,42
2022-02-02,47,27,26,47
2022-02-03,49,23,29,49
2022-02-04,40,28,30,40
2022-02-05,40,14,29,40
2022-02-06,30,24,29,30
2022-02-07,45,12,28,45
2022-02-08,28,17,28,28
2022-02-09,28,18,17,28
2022-02-10,42,22,19,42
2022-02-11,44,23,24,44
2022-02-12,47,19,27,47
2022-02-13,48,15,25,48
2022-02-14,41,22,26,41
2022-02-15,45,15,32,45
2022-02-16,39,30,29,39
2022-02-17,49,26,31,49
2022-02-18,46,21,26,46
2022-02-19,49,21,30,49
2022-02-20,49,21,29,49
2022-02-21,49,25,28,49
2022-02-22,53,15,30,53
2022-02-23,35,6,31,35
2022-02-24,14,15,26,26
2022-02-25,33,15,29,33
2022-02-26,41,11,26,41
2022-02-27,32,14,25,32
2022-02-28,42,16,18,42
2022-03-01,53,31,15,53
2022-03-02,98,41,19,98
2022-03-03,100,23,24,100
2022-03-04,64,16,25,64
2022-03-05,62,18,25,62
2022-03-06,54,21,24,54
2022-03-07,52,35,23,52
2022-03-08,83,28,27,83
2022-03-09,66,23,28,66
2022-03-10,65,21,26,65
2022-03-11,61,19,32,61
2022-03-12,47,16,30,47
2022-03-13,50,23,36,50
2022-03-14,60,24,25,60
2022-03-15,58,28,24,58
2022-03-16,70,26,25,70
2022-03-17,53,29,29,53
