city,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
Helsinki,9/1/2021,18.1,14.6,16.3,18.1,14.6,16.3,11.7,74.4,0,0,0,0,0,0,17.2,36,1030.7,95.5,25.6,62.2,5.3,2,Overcast
Helsinki,9/2/2021,19.6,15.5,17,19.6,15.5,17,11.8,72.2,0,0,0,0,0,0,21.1,48.5,1027.8,90.4,20.9,78,6.6,4,Overcast
Helsinki,9/3/2021,21.1,14.6,17.7,21.1,14.6,17.7,12.8,73.2,0,0,0,0,0,0,15.1,66.7,1021.9,72.4,15.1,72.6,6.3,3,Partially cloudy
Helsinki,9/4/2021,19.1,14.5,16.8,19.1,14.5,16.8,13,78.9,0,0,0,0,0,0,15.4,68,1018.9,79.7,12.8,47.5,4.2,2,Partially cloudy
Helsinki,9/5/2021,25.1,14.1,18.9,25.1,14.1,18.9,14.2,75.4,0,0,0,0,0,0,10.5,76.1,1020.4,45.8,10.7,95.1,8.2,6,Partially cloudy
Helsinki,9/6/2021,27.6,14.6,20.2,28.2,14.6,20.2,15.9,78.6,0,0,0,0,0,27.7,7.1,112.7,1023,23.9,15,106.2,9.2,5,Partially cloudy
Helsinki,9/7/2021,29.5,15.6,21.8,29.1,15.6,21.8,14.8,69.2,0,0,0,0,0,0,14.4,110.4,1020.9,2.1,21,106.9,9,6,Clear
Helsinki,9/8/2021,28.5,16.5,21.6,28.4,16.5,21.6,14.9,68.3,0,0,0,0,0,0,18.8,109.2,1013,19.6,19.3,109.7,9.3,6,Clear
Helsinki,9/9/2021,22.1,16.5,19,22.1,16.5,19,16.4,85.5,4.187,100,8.33,0,0,0,21,199.8,1008.6,78.9,17.4,72.4,6.2,4,"Rain, Partially cloudy"
Helsinki,9/10/2021,22.1,17.1,18.9,22.1,17.1,18.9,16.1,84.2,1.007,100,8.33,0,0,0,19,219.1,1010.5,78.6,22.3,46.4,4,2,"Rain, Partially cloudy"
Helsinki,9/11/2021,22.6,16.5,19.1,22.6,16.5,19.1,14.2,74.6,0.001,100,4.17,0,0,0,17.8,248.8,1016.1,72.2,25.9,68.7,5.9,5,"Rain, Partially cloudy"
Helsinki,9/12/2021,21.1,12.5,16.8,21.1,12.5,16.8,11.7,73.1,0,0,0,0,0,0,9.1,349.1,1018.7,58,28.1,87.4,7.7,5,Partially cloudy
Helsinki,9/13/2021,20.2,14.1,17.2,20.2,14.1,17.2,12.5,74.6,0,0,0,0,0,35.3,17.5,89.1,1017.8,65.9,28.4,83.5,7.2,4,Partially cloudy
